step 72400, train_loss 8.0086e+00, test_loss nan
step 72600, train_loss 3.5786e+00, test_loss nan
step 72800, train_loss 8.5502e+00, test_loss nan
step 73000, train_loss 1.3266e+00, test_loss nan
step 73200, train_loss 3.7885e+00, test_loss nan
step 73400, train_loss 2.2013e+00, test_loss nan
step 73600, train_loss 4.8339e+01, test_loss nan
step 73800, train_loss 1.7860e+01, test_loss nan
step 74000, train_loss 6.8116e-01, test_loss nan
step 74200, train_loss 2.0949e+01, test_loss nan
step 74400, train_loss 1.8716e+01, test_loss nan
step 74600, train_loss 2.0692e+01, test_loss nan
step 74800, train_loss 9.6510e+00, test_loss nan
step 75000, train_loss 8.2318e+00, test_loss nan
step 75200, train_loss 1.9672e+01, test_loss nan
step 75400, train_loss 2.9832e+00, test_loss nan
step 75600, train_loss 2.4564e+00, test_loss nan
step 75800, train_loss 8.1274e+00, test_loss nan
step 76000, train_loss 4.0083e+00, test_loss nan
step 76200, train_loss 7.3027e+00, test_loss nan
step 76400, train_loss 9.0036e-01, test_loss nan
step 76600, train_loss 1.2476e+00, test_loss nan
step 76800, train_loss 1.9681e+00, test_loss nan
step 77000, train_loss 3.4422e+00, test_loss nan
step 77200, train_loss 9.3281e-01, test_loss nan
step 77400, train_loss 9.3562e+00, test_loss nan
step 77600, train_loss 2.7441e+00, test_loss nan
step 77800, train_loss 6.5277e-01, test_loss nan
step 78000, train_loss 9.6849e-01, test_loss nan
step 78200, train_loss 4.8529e-01, test_loss nan
step 78400, train_loss 3.6574e+00, test_loss nan
step 78600, train_loss 4.7746e+00, test_loss nan
step 78800, train_loss 5.7646e-01, test_loss nan
step 79000, train_loss 1.6320e+01, test_loss nan
step 79200, train_loss 3.3122e-01, test_loss nan
step 79400, train_loss 3.5469e+00, test_loss nan
step 79600, train_loss 2.5777e+00, test_loss nan
step 79800, train_loss 6.9263e-01, test_loss nan
step 80000, train_loss 4.6355e-01, test_loss nan
step 80200, train_loss 4.1788e-01, test_loss nan
step 80400, train_loss 6.6211e-01, test_loss nan
step 80600, train_loss 3.4273e+01, test_loss nan
step 80800, train_loss 1.2027e+01, test_loss nan
step 81000, train_loss 3.1289e+00, test_loss nan
step 81200, train_loss 5.1961e+00, test_loss nan
step 81400, train_loss 2.9893e+00, test_loss nan
step 81600, train_loss 3.5031e+00, test_loss nan
step 81800, train_loss 3.9706e+00, test_loss nan
step 82000, train_loss 1.8460e+00, test_loss nan
step 82200, train_loss 7.6955e+00, test_loss nan
step 82400, train_loss 7.6821e+00, test_loss nan
step 82600, train_loss 1.0129e+00, test_loss nan
step 82800, train_loss 5.6104e+00, test_loss nan
step 83000, train_loss 5.9181e-01, test_loss nan
step 83200, train_loss 1.4505e+00, test_loss nan
step 83400, train_loss 4.7353e-01, test_loss nan
step 83600, train_loss 2.2977e+00, test_loss nan
step 83800, train_loss 6.6377e+00, test_loss nan
step 84000, train_loss 1.1659e+01, test_loss nan
step 84200, train_loss 6.0517e-01, test_loss nan
